	task_left_insular	task_right_insular
sub-10048	0.08559	0.06298
sub-10155	1.071	0.2631
sub-10185	2.008	0.5084
sub-10186	0.2771	0.2644
sub-10218	0.633	0.03345
sub-10434	1.568	0.3888
sub-10469	2.372	0.2949
sub-10474	0.6157	0.1394
sub-10593	0.2003	-0.03979
sub-10620	0.8306	0.1438
sub-9097	0.2729	0.07458
sub-9539	0.5465	0.09235
sub-9634	0.6889	0.1869
sub-9664	-0.1815	0.02874
sub-9675	0.5068	0.1281
sub-9946	-0.06105	0.04148
sub-10076	0.2366	0.183
sub-10086	-0.2313	0.1074
sub-10108	-0.1978	0.04866
sub-10142	0.2878	0.02737
sub-10188	1.249	0.3804
sub-10245	0.2565	0.01937
sub-10261	0.284	0.01305
sub-10284	1.815	0.3464
sub-10353	-0.1334	0.05602
sub-10404	-0.002813	0.09551
sub-10449	0.6533	0.2717
sub-10451	-0.1705	0.03886
sub-10456	1.388	0.2338
sub-10471	1.32	0.3411
sub-10472	0.3191	0.1929
sub-10473	1.584	0.2217
sub-10573	0.2846	0.03349
sub-8494	0.7273	0.2165
sub-9389	0.1631	0.06595
sub-9393	0.3298	0.1994
sub-9420	-0.04292	0.05189
sub-9431	0.3828	0.0996
sub-9454	0.9805	0.09686
sub-9478	0.1107	0.06999
sub-9503	0.4814	0.06779
sub-9575	2.654	0.5874
sub-9676	0.8363	0.2011
sub-9686	0.005883	0.05551
sub-9734	-0.3258	-0.154
sub-9790	0.8777	0.275
sub-9933	-0.08428	0.141
sub-9934	0.5253	0.2049
sub-9995	0.3597	0.2735
