	task_left_insular	task_right_insular	taskCDS_right_insular	task_corr_CDS_pos_cluster_left_AG	task_corr_CDS_pos_cluster_right_AG
sub-10048	0.08559	0.06298	-0.005913	0.1922	0.2014
sub-10155	1.071	0.2631	0.2723	0.0763	0.1943
sub-10185	2.008	0.5084	0.289	0.3623	0.2892
sub-10186	0.2771	0.2644	0.2369	0.09896	0.2113
sub-10218	0.633	0.03345	0.06893	0.1119	-0.07704
sub-10434	1.568	0.3888	0.5331	0.2001	0.4338
sub-10469	2.372	0.2949	0.6157	0.1408	-0.008646
sub-10474	0.6157	0.1394	0.1939	0.1692	-0.02784
sub-10593	0.2003	-0.03979	0.08761	-0.0226	0.008664
sub-10620	0.8306	0.1438	0.2018	0.1083	0.06159
sub-9097	0.2729	0.07458	0.1788	0.1012	0.2771
sub-9539	0.5465	0.09235	0.1685	0.2715	0.2553
sub-9634	0.6889	0.1869	0.5902	0.3031	0.1295
sub-9664	-0.1815	0.02874	0.4445	0.2266	0.02395
sub-9675	0.5068	0.1281	0.1884	0.3661	0.1885
sub-9946	-0.06105	0.04148	-0.005075	0.07983	0.1442
sub-10076	0.2366	0.183	0.3237	0.1629	0.228
sub-10086	-0.2313	0.1074	0.1537	0.2792	0.2839
sub-10108	-0.1978	0.04866	0.1425	0.4932	0.4211
sub-10142	0.2878	0.02737	0.05973	0.04819	-0.02067
sub-10188	1.249	0.3804	0.4221	0.1121	0.1718
sub-10245	0.2565	0.01937	0.08155	0.1454	-0.04412
sub-10261	0.284	0.01305	0.153	0.1574	0.1539
sub-10284	1.815	0.3464	0.1356	0.2974	0.2469
sub-10353	-0.1334	0.05602	0.3255	0.1475	-0.0482
sub-10404	-0.002813	0.09551	0.3149	0.1871	0.2025
sub-10449	0.6533	0.2717	0.2486	0.1441	0.08662
sub-10451	-0.1705	0.03886	0.1224	0.1816	0.0971
sub-10456	1.388	0.2338	0.2918	0.1901	0.0551
sub-10471	1.32	0.3411	0.4226	0.3625	0.3334
sub-10472	0.3191	0.1929	0.08403	0.06729	0.01485
sub-10473	1.584	0.2217	0.1497	0.295	0.3785
sub-10573	0.2846	0.03349	0.00629	0.1314	0.08042
sub-8494	0.7273	0.2165	0.2519	0.157	0.1262
sub-9389	0.1631	0.06595	0.2612	0.07613	0.08592
sub-9393	0.3298	0.1994	0.2003	0.08764	0.1582
sub-9420	-0.04292	0.05189	0.1386	0.04727	0.04614
sub-9431	0.3828	0.0996	0.1646	0.1459	0.1169
sub-9454	0.9805	0.09686	0.4505	0.2628	0.07991
sub-9478	0.1107	0.06999	0.0306	0.009276	0.04293
sub-9503	0.4814	0.06779	0.07207	0.09109	0.1237
sub-9575	2.654	0.5874	0.3583	0.09411	0.02362
sub-9676	0.8363	0.2011	0.2483	-0.05758	-0.009617
sub-9686	0.005883	0.05551	-0.2353	0.08057	0.1953
sub-9734	-0.3258	-0.154	0.01284	0.01332	0.1088
sub-9790	0.8777	0.275	0.2881	-0.00506	0.08423
sub-9933	-0.08428	0.141	0.008224	0.03113	0.2698
sub-9934	0.5253	0.2049	0.3912	0.1778	0.2332
sub-9995	0.3597	0.2735	0.3306	0.2297	0.2099
